Fecha;Hora;Numero_de_Pasajeros;Mayores;Menores;Clase_de_Vuelo;Clasificacion_Vuelo;Tipo_de_Movimiento;Origen;Destino;Aerolinea_Nombre;Aeronave;Falla_Despegue;Falla_Aterrizaje
10/1/2023;13;190;130;60;Regular;Nacional;Despegue;CABA;Bariloche;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;9;400;300;100;Regular;Nacional;Despegue;CABA;Bariloche;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;8;210;190;20;Regular;Internacional;Aterrizaje;Uruguay;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;7;210;190;20;Regular;Nacional;Despegue;CABA;Bariloche;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;20;210;190;20;Regular;Internacional;Aterrizaje;Uruguay;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;18;210;190;20;Regular;Internacional;Despegue;CABA;Chile;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;17;190;130;60;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;2;190;130;60;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;15;190;130;60;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;5;400;300;100;Regular;Nacional;Despegue;CABA;Bariloche;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;11;210;190;20;Regular;Internacional;Aterrizaje;Uruguay;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;6;210;190;20;Regular;Internacional;Despegue;CABA;Peru;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;0;200;100;100;Regular;Internacional;Despegue;CABA;Colombia;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;10;210;190;20;Regular;Nacional;Despegue;CABA;Bariloche;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;12;210;190;20;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;12;210;190;20;Regular;Nacional;Despegue;CABA;Bariloche;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;16;10;9;1;Priv Matricula Nac;Nacional;Despegue;CABA;Bariloche;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;15;210;190;20;Regular;Nacional;Despegue;CABA;Catamarca;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;19;400;300;100;Regular;Nacional;Despegue;CABA;Catamarca;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;8;400;300;100;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;20;20;16;4;Priv Matricula Nac;Nacional;Despegue;CABA;Catamarca;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;20;20;16;4;Priv Matricula Nac;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;5;400;300;100;Regular;Nacional;Despegue;CABA;Catamarca;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;0;210;190;20;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;1;210;190;20;Regular;Nacional;Despegue;CABA;Catamarca;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;6;210;190;20;Regular;Internacional;Despegue;CABA;Uruguay;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;21;400;300;100;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;10;160;140;20;No Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;17;400;300;100;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;15;400;300;100;Regular;Nacional;Despegue;CABA;Catamarca;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;14;400;300;100;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;11;400;300;100;Regular;Nacional;Despegue;CABA;Catamarca;Austral Lineas Aereas;EMBRAER E-190;1;0
10/1/2023;9;400;300;100;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;7;400;300;100;Regular;Nacional;Despegue;CABA;Catamarca;Austral Lineas Aereas;EMBRAER E-190;2;0
10/1/2023;7;400;300;100;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;22;400;300;100;Regular;Nacional;Despegue;CABA;Catamarca;Austral Lineas Aereas;EMBRAER E-190;2;0
10/1/2023;16;160;140;20;No Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;19;400;300;100;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;16;400;300;100;Regular;Nacional;Despegue;CABA;Catamarca;Austral Lineas Aereas;EMBRAER E-190;2;0
10/1/2023;14;400;300;100;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;11;400;300;100;Regular;Nacional;Despegue;CABA;Catamarca;Austral Lineas Aereas;EMBRAER E-190;2;0
10/1/2023;10;400;300;100;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;7;400;300;100;Regular;Nacional;Despegue;CABA;Catamarca;Austral Lineas Aereas;EMBRAER E-190;2;0
10/1/2023;18;10;9;1;Priv Matricula Nac;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;10;22;19;3;Priv Matricula Nac;Internacional;Despegue;CABA;Bolivia;Austral Lineas Aereas;EMBRAER E-190;2;0
10/1/2023;6;190;130;60;Regular;Internacional;Despegue;CABA;Ecuador;Austral Lineas Aereas;EMBRAER E-190;2;0
10/1/2023;16;160;140;20;No Regular;Nacional;Despegue;CABA;Cordoba;Austral Lineas Aereas;EMBRAER E-190;2;0
10/1/2023;16;160;140;20;No Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;1;400;300;100;Regular;Nacional;Aterrizaje;Jujuy;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
10/1/2023;2;400;300;100;Regular;Nacional;Despegue;CABA;Cordoba;Austral Lineas Aereas;EMBRAER E-190;2;0
10/1/2023;5;400;300;100;Regular;Nacional;Aterrizaje;Salta;CABA;Austral Lineas Aereas;EMBRAER E-190;0;1
